dataset	fold	drop_ungated_training	drop_ungated_test	gmm_parameterization	status	validation_status	process_returncode	runner_commit	output_archive_sha256
FR-FCM-Z238	1	false	false	E	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	f64d995044afa43d0624e7500b661a4749e00328a09c97d3bf6a1527fd184a73
FR-FCM-Z238	1	false	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	3bfd115cf537e69b92b4177de8dc749037aba381860adcc421049aa5b25795a2
FR-FCM-Z238	1	true	false	E	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	2797a96e98dbfe74b9b9448367964a1d74f5aed7d1ef0a27bdf6a90d2c428321
FR-FCM-Z238	1	true	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	7c0519d12d7599b69fa8d7a900e08e596a7c09da33c84eb6afd8991d0f787d33
FR-FCM-Z238	1	true	true	E	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	503d6f799483acc06aec78eb15b104bb228a38ca80127e368603a27c3c6debe5
FR-FCM-Z238	1	true	true	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	bdc1d6e91178a229cec6f73f3fb8925433618b84d6adf26d328bff4814f5950b
FR-FCM-Z238	2	false	false	E	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	53319518767cfc1bc3f13286b5ce0d719204368a5b838bef9f3082cf3bcf7f0b
FR-FCM-Z238	2	false	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	427904004942e26a2600ab3b9d9604a4ac9454a853be9f1a253c3142272ece60
FR-FCM-Z238	2	true	false	E	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	5d32762b0b071d03603ab0c52baf467115e4e9e16ebbb836be153b5e85e16353
FR-FCM-Z238	2	true	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	021a94fd4cc0728e3a47f9c0ff92640eb03096507e85e96725ee901a5f24b607
